,Charging Power (kW)
966,0.7526317039006495
967,0.5418948268084677
968,0.4214737541843637
969,0.3010526815602598
970,0.21073687709218186
971,0.12042107262410393
972,0.07827369720566754
973,0.06021053631205196
974,0.01806316089361559
975,0.01505263407801299
976,0.006021053631205197
977,0.0030105268156025984
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.45157902234038977
1007,0.6021053631205197
1008,0.8429475083687274
1009,0.9700586405830594
1010,1.0737545642315933
1011,1.1339651005436453
1012,1.1440001899289873
1013,0.9031580446807795
1014,0.7526317039006495
1015,0.5418948268084677
1016,0.4214737541843637
1017,0.3010526815602598
1018,0.21073687709218186
1019,0.12042107262410393
1020,0.07827369720566754
1021,0.06021053631205196
1022,0.01806316089361559
1023,0.01505263407801299
1024,0.006021053631205197
1025,0.0030105268156025984
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.45157902234038977
1055,0.6021053631205197
1056,0.8429475083687274
1057,0.9700586405830594
1058,1.0737545642315933
1059,1.1339651005436453
1060,1.1440001899289873
1061,0.9031580446807795
1062,0.7526317039006495
1063,0.5418948268084677
1064,0.4214737541843637
1065,0.3010526815602598
1066,0.21073687709218186
1067,0.12042107262410393
1068,0.07827369720566754
1069,0.06021053631205196
1070,0.01806316089361559
1071,0.01505263407801299
1072,0.006021053631205197
1073,0.0030105268156025984
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
